staff_id,pid,credential
1,597306,demand_initial_staff
2,121200,
3,251152,demand_initial_staff
4,806483,demand_initial_staff
5,15001,demand_initial_staff
6,6953,demand_short_staff
7,731298,demand_initial_staff
8,146003,demand_initial_staff
9,172511,demand_initial_staff
10,856527,demand_short_staff
11,1081497,demand_initial_staff
12,234861,demand_initial_staff
13,5008,demand_initial_staff
14,521354,demand_initial_staff
15,922496,
16,526277,demand_initial_staff
17,760301,demand_state_staff
18,268970,demand_short_staff
19,927567,demand_initial_staff
20,825704,demand_initial_staff
21,299032,demand_initial_staff
22,7460,
23,741303,demand_short_staff
24,234861,demand_short_staff
25,519,
26,597306,
27,246360,
28,853556,demand_initial_staff
29,999513,demand_short_staff
30,110942,
31,623258,demand_state_staff
32,598291,demand_initial_staff
33,700060,demand_initial_staff
34,685368,demand_initial_staff
35,276940,demand_initial_staff
36,966591,demand_initial_staff
37,514275,demand_initial_staff
38,6670,demand_initial_staff
39,777356,
40,260739,demand_initial_staff
41,219404,demand_initial_staff
42,749430,
43,285690,demand_initial_staff
44,490250,
45,279127,
46,234861,
47,426350,demand_initial_staff
48,260739,
49,475334,demand_initial_staff
50,3738,demand_initial_staff
51,1023509,
52,1095687,demand_short_staff
53,327276,demand_initial_staff
54,134880,demand_initial_staff
55,776340,
56,130671,demand_short_staff
57,315162,demand_initial_staff
58,1120514,demand_initial_staff
59,526277,demand_initial_staff
60,597306,demand_short_staff
61,110942,
62,624285,demand_initial_staff
63,296984,demand_initial_staff
64,597306,demand_initial_staff
65,853552,demand_initial_staff
66,618314,
67,612310,demand_short_staff
68,284913,demand_initial_staff
69,701032,demand_short_staff
70,1125498,demand_initial_staff
71,791430,demand_initial_staff
72,221162,demand_initial_staff
73,640,
74,139717,demand_initial_staff
75,749267,demand_short_staff
76,162541,
77,659276,
78,306080,demand_initial_staff
79,597306,
80,1088566,demand_initial_staff
81,213667,demand_initial_staff
82,615253,demand_initial_staff
83,92995,
84,475334,demand_initial_staff
85,312296,demand_initial_staff
86,243436,demand_initial_staff
87,801383,
88,153870,demand_initial_staff
89,322471,demand_initial_staff
90,295041,demand_initial_staff
91,840507,demand_initial_staff
92,921530,demand_initial_staff
93,597306,demand_initial_staff
94,235351,demand_initial_staff
95,234062,demand_short_staff
96,134942,demand_initial_staff
97,532280,
98,512310,demand_initial_staff
99,656,demand_short_staff
100,442241,demand_initial_staff
101,682257,
102,303826,demand_initial_staff
103,292193,
104,262484,demand_initial_staff
105,1125498,
106,297179,demand_initial_staff
107,425315,demand_initial_staff
