pid,col_id,college,travel_time,compare_val
13006,4,Centralia College,0.02,TRUE
13006,1,Bates Technical College,0.95,FALSE
13006,20,Seattle Central College,1.44,FALSE
13006,28,Yakima Valley College,2.96,FALSE
292031,28,Yakima Valley College,0.02,TRUE
292031,20,Seattle Central College,2.34,FALSE
292031,1,Bates Technical College,2.6,FALSE
292031,4,Centralia College,2.95,FALSE
938262,28,Yakima Valley College,0.02,TRUE
938262,20,Seattle Central College,2.36,FALSE
938262,1,Bates Technical College,2.62,FALSE
938262,4,Centralia College,2.98,FALSE
272412,28,Yakima Valley College,0.03,TRUE
272412,20,Seattle Central College,2.33,FALSE
272412,1,Bates Technical College,2.6,FALSE
272412,4,Centralia College,2.94,FALSE
3644,1,Bates Technical College,0.04,TRUE
3644,20,Seattle Central College,0.67,FALSE
3644,4,Centralia College,0.98,FALSE
3644,28,Yakima Valley College,2.58,FALSE
5697,1,Bates Technical College,0.04,TRUE
5697,20,Seattle Central College,0.68,FALSE
5697,4,Centralia College,0.98,FALSE
5697,28,Yakima Valley College,2.59,FALSE
262078,4,Centralia College,0.04,TRUE
262078,1,Bates Technical College,0.94,FALSE
262078,20,Seattle Central College,1.43,FALSE
262078,28,Yakima Valley College,2.97,FALSE
307621,28,Yakima Valley College,0.04,TRUE
307621,20,Seattle Central College,2.38,FALSE
307621,1,Bates Technical College,2.64,FALSE
307621,4,Centralia College,2.98,FALSE
670939,28,Yakima Valley College,0.04,TRUE
670939,20,Seattle Central College,2.37,FALSE
670939,1,Bates Technical College,2.63,FALSE
670939,4,Centralia College,2.97,FALSE
922215,28,Yakima Valley College,0.04,TRUE
922215,20,Seattle Central College,2.36,FALSE
922215,1,Bates Technical College,2.62,FALSE
922215,4,Centralia College,2.96,FALSE
3920,1,Bates Technical College,0.05,TRUE
3920,20,Seattle Central College,0.69,FALSE
3920,4,Centralia College,0.96,FALSE
3920,28,Yakima Valley College,2.59,FALSE
296890,1,Bates Technical College,0.05,TRUE
296890,20,Seattle Central College,0.66,FALSE
296890,4,Centralia College,0.97,FALSE
296890,28,Yakima Valley College,2.57,FALSE
3120,4,Centralia College,0.05,TRUE
3120,1,Bates Technical College,0.98,FALSE
3120,20,Seattle Central College,1.47,FALSE
3120,28,Yakima Valley College,2.96,FALSE
886240,4,Centralia College,0.05,TRUE
886240,1,Bates Technical College,0.98,FALSE
886240,20,Seattle Central College,1.46,FALSE
886240,28,Yakima Valley College,2.97,FALSE
2366,4,Centralia College,0.05,TRUE
2366,1,Bates Technical College,0.97,FALSE
2366,20,Seattle Central College,1.46,FALSE
2366,28,Yakima Valley College,2.98,FALSE
92098,28,Yakima Valley College,0.05,TRUE
92098,20,Seattle Central College,2.38,FALSE
92098,1,Bates Technical College,2.64,FALSE
92098,4,Centralia College,2.96,FALSE
287119,28,Yakima Valley College,0.05,TRUE
287119,20,Seattle Central College,2.33,FALSE
287119,1,Bates Technical College,2.6,FALSE
287119,4,Centralia College,2.93,FALSE
312076,28,Yakima Valley College,0.05,TRUE
312076,20,Seattle Central College,2.35,FALSE
312076,1,Bates Technical College,2.61,FALSE
312076,4,Centralia College,2.93,FALSE
334311,28,Yakima Valley College,0.05,TRUE
334311,20,Seattle Central College,2.36,FALSE
334311,1,Bates Technical College,2.63,FALSE
334311,4,Centralia College,2.96,FALSE
283651,1,Bates Technical College,0.06,TRUE
283651,20,Seattle Central College,0.65,FALSE
283651,4,Centralia College,0.97,FALSE
283651,28,Yakima Valley College,2.56,FALSE
748012,1,Bates Technical College,0.06,TRUE
748012,20,Seattle Central College,0.67,FALSE
748012,4,Centralia College,0.98,FALSE
748012,28,Yakima Valley College,2.58,FALSE
4423,4,Centralia College,0.06,TRUE
4423,1,Bates Technical College,0.98,FALSE
4423,20,Seattle Central College,1.46,FALSE
4423,28,Yakima Valley College,3.01,FALSE
780033,4,Centralia College,0.06,TRUE
780033,1,Bates Technical College,0.95,FALSE
780033,20,Seattle Central College,1.43,FALSE
780033,28,Yakima Valley College,2.93,FALSE
294796,20,Seattle Central College,0.06,TRUE
294796,1,Bates Technical College,0.69,FALSE
294796,4,Centralia College,1.48,FALSE
294796,28,Yakima Valley College,2.37,FALSE
69802,28,Yakima Valley College,0.06,TRUE
69802,20,Seattle Central College,2.33,FALSE
69802,1,Bates Technical College,2.59,FALSE
69802,4,Centralia College,2.95,FALSE
275578,28,Yakima Valley College,0.06,TRUE
275578,20,Seattle Central College,2.35,FALSE
275578,1,Bates Technical College,2.61,FALSE
275578,4,Centralia College,2.93,FALSE
428960,28,Yakima Valley College,0.06,TRUE
428960,20,Seattle Central College,2.35,FALSE
428960,1,Bates Technical College,2.61,FALSE
428960,4,Centralia College,2.93,FALSE
693698,28,Yakima Valley College,0.06,TRUE
693698,20,Seattle Central College,2.31,FALSE
693698,1,Bates Technical College,2.57,FALSE
693698,4,Centralia College,2.93,FALSE
1752,1,Bates Technical College,0.07,TRUE
1752,20,Seattle Central College,0.66,FALSE
1752,4,Centralia College,0.95,FALSE
1752,28,Yakima Valley College,2.57,FALSE
327815,1,Bates Technical College,0.07,TRUE
327815,20,Seattle Central College,0.71,FALSE
327815,4,Centralia College,0.96,FALSE
327815,28,Yakima Valley College,2.62,FALSE
13009,4,Centralia College,0.07,TRUE
13009,1,Bates Technical College,0.99,FALSE
13009,20,Seattle Central College,1.48,FALSE
13009,28,Yakima Valley College,3.02,FALSE
111627,4,Centralia College,0.07,TRUE
111627,1,Bates Technical College,0.97,FALSE
111627,20,Seattle Central College,1.46,FALSE
111627,28,Yakima Valley College,2.95,FALSE
316582,4,Centralia College,0.07,TRUE
316582,1,Bates Technical College,0.94,FALSE
316582,20,Seattle Central College,1.43,FALSE
316582,28,Yakima Valley College,2.92,FALSE
3181,28,Yakima Valley College,0.07,TRUE
3181,20,Seattle Central College,2.32,FALSE
3181,1,Bates Technical College,2.58,FALSE
3181,4,Centralia College,2.9,FALSE
303486,28,Yakima Valley College,0.07,TRUE
303486,20,Seattle Central College,2.36,FALSE
303486,1,Bates Technical College,2.62,FALSE
303486,4,Centralia College,2.97,FALSE
312663,28,Yakima Valley College,0.07,TRUE
312663,20,Seattle Central College,2.41,FALSE
312663,1,Bates Technical College,2.67,FALSE
312663,4,Centralia College,3.01,FALSE
403973,28,Yakima Valley College,0.07,TRUE
403973,20,Seattle Central College,2.34,FALSE
403973,1,Bates Technical College,2.6,FALSE
403973,4,Centralia College,2.96,FALSE
575991,28,Yakima Valley College,0.07,TRUE
575991,20,Seattle Central College,2.41,FALSE
575991,1,Bates Technical College,2.67,FALSE
575991,4,Centralia College,3.02,FALSE
635949,28,Yakima Valley College,0.07,TRUE
635949,20,Seattle Central College,2.33,FALSE
635949,1,Bates Technical College,2.59,FALSE
635949,4,Centralia College,2.95,FALSE
1096372,28,Yakima Valley College,0.07,TRUE
1096372,20,Seattle Central College,2.33,FALSE
1096372,1,Bates Technical College,2.59,FALSE
1096372,4,Centralia College,2.95,FALSE
153988,1,Bates Technical College,0.08,TRUE
153988,20,Seattle Central College,0.67,FALSE
153988,4,Centralia College,0.92,FALSE
153988,28,Yakima Valley College,2.58,FALSE
290061,1,Bates Technical College,0.08,TRUE
290061,20,Seattle Central College,0.69,FALSE
290061,4,Centralia College,1.01,FALSE
290061,28,Yakima Valley College,2.6,FALSE
293498,1,Bates Technical College,0.08,TRUE
293498,20,Seattle Central College,0.7,FALSE
293498,4,Centralia College,0.95,FALSE
293498,28,Yakima Valley College,2.6,FALSE
293504,1,Bates Technical College,0.08,TRUE
293504,20,Seattle Central College,0.69,FALSE
293504,4,Centralia College,0.97,FALSE
293504,28,Yakima Valley College,2.6,FALSE
2578,1,Bates Technical College,0.08,TRUE
2578,20,Seattle Central College,0.64,FALSE
2578,4,Centralia College,0.93,FALSE
2578,28,Yakima Valley College,2.54,FALSE
135565,20,Seattle Central College,0.08,TRUE
135565,1,Bates Technical College,0.74,FALSE
135565,4,Centralia College,1.53,FALSE
135565,28,Yakima Valley College,2.41,FALSE
644064,20,Seattle Central College,0.08,TRUE
644064,1,Bates Technical College,0.71,FALSE
644064,4,Centralia College,1.5,FALSE
644064,28,Yakima Valley College,2.38,FALSE
967276,20,Seattle Central College,0.08,TRUE
967276,1,Bates Technical College,0.7,FALSE
967276,4,Centralia College,1.52,FALSE
967276,28,Yakima Valley College,2.37,FALSE
167929,28,Yakima Valley College,0.08,TRUE
167929,20,Seattle Central College,2.32,FALSE
167929,1,Bates Technical College,2.58,FALSE
167929,4,Centralia College,2.94,FALSE
234512,28,Yakima Valley College,0.08,TRUE
234512,20,Seattle Central College,2.37,FALSE
234512,1,Bates Technical College,2.63,FALSE
234512,4,Centralia College,2.99,FALSE
250856,28,Yakima Valley College,0.08,TRUE
250856,20,Seattle Central College,2.36,FALSE
250856,1,Bates Technical College,2.62,FALSE
250856,4,Centralia College,2.94,FALSE
259747,28,Yakima Valley College,0.08,TRUE
259747,20,Seattle Central College,2.34,FALSE
259747,1,Bates Technical College,2.6,FALSE
259747,4,Centralia College,2.96,FALSE
302743,28,Yakima Valley College,0.08,TRUE
302743,20,Seattle Central College,2.34,FALSE
302743,1,Bates Technical College,2.6,FALSE
302743,4,Centralia College,2.93,FALSE
311530,28,Yakima Valley College,0.08,TRUE
311530,20,Seattle Central College,2.42,FALSE
311530,1,Bates Technical College,2.69,FALSE
311530,4,Centralia College,3.04,FALSE
311621,28,Yakima Valley College,0.08,TRUE
311621,20,Seattle Central College,2.37,FALSE
311621,1,Bates Technical College,2.63,FALSE
311621,4,Centralia College,2.98,FALSE
311868,28,Yakima Valley College,0.08,TRUE
311868,20,Seattle Central College,2.41,FALSE
